DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A
220212	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	N/A	N/A
220213	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	N/A	N/A
220214	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	3	0	4	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	2	0	N/A	N/A
220215	0	1	0	1	1	1	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	3	1	4	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	1	1	1	0	1	3	2	2	0	N/A
220216	1	1	0	1	1	2	1	1	3	1	0	1	1	0	1	0	0	0	0	0	1	3	1	1	4	1	4	0	0	3	1	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	2	2	1	N/A
220216	1	1	0	1	1	2	1	1	3	1	0	1	1	0	1	0	0	0	0	0	1	4	1	2	4	1	4	0	0	3	2	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	2	2	1	N/A
220218	2	1	0	1	1	2	1	1	4	1	0	1	1	0	1	0	0	0	0	0	1	5	1	2	4	1	5	0	1	3	2	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	2	2	1	N/A
220219	2	1	0	1	1	2	1	1	4	1	0	1	1	0	1	0	0	1	0	0	1	5	1	2	4	1	5	0	1	3	4	1	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	2	2	1	N/A
220220	2	1	0	1	1	2	1	1	4	1	0	1	1	0	1	0	0	1	0	0	1	5	1	2	4	1	5	0	1	3	4	1	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	3	2	1	N/A
220221	2	1	0	2	1	2	1	1	4	1	0	1	1	0	1	0	0	1	0	0	1	5	1	2	5	1	5	0	1	3	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	3	2	1	N/A
220222	2	1	0	2	1	2	1	1	4	1	1	1	1	0	1	0	0	1	0	0	1	5	1	2	5	1	5	0	1	3	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	0	0	1	0	1	1	1	1	0	1	3	3	2	1	N/A
