DATE	A01	A02	A03	A04	A05	A06	A07	A08	B01	B02	B03	B04	B05	B06
220204	0/31	0/31	0/31	0/31	0/31	0/31	0/31	0/31	0/30	0/30	0/30	0/30	0/30	0/30
220212	0/31	3/31	1/31	0/31	0/31	1/31	0/31	0/31	0/30	0/30	4/30	3/30	0/30	0/30
220213	0/31	7/31	4/31	0/31	0/31	3/31	0/31	0/31	1/30	2/30	9/30	4/30	2/30	1/30
220214	1/31	7/31	4/31	0/31	0/31	3/31	0/31	0/31	1/30	2/30	10/30	4/30	2/30	1/30
220215	4/31	12/31	8/31	0/31	1/31	2/31	0/31	2/31	2/30	2/30	10/30	5/30	3/30	2/30
220216	5/31	18/31	11/31	1/31	1/31	5/31	2/31	3/31	4/30	3/30	15/30	8/30	4/30	3/30
220216	9/31	29/31	30/31	6/31	3/31	8/31	2/31	5/31	8/30	3/30	22/30	10/30	7/30	6/30
220217	10/31	31/31	31/31	10/31	3/31	13/31	2/31	6/31	8/30	3/30	26/30	10/30	8/30	6/30
220218	31/31	31/31	31/31	31/31	17/31	31/31	21/31	31/31	30/30	23/30	30/30	30/30	30/30	30/30
220219	31/31	31/31	31/31	31/31	18/31	31/31	20/31	31/31	30/30	30/30	30/30	30/30	30/30	30/30
220221	31/31	31/31	31/31	31/31	19/31	31/31	20/31	31/31	30/30	30/30	30/30	30/30	30/30	30/30
220221	31/31	31/31	31/31	31/31 WL1	23/31	31/31	28/31	31/31	30/30	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL2
