DATE	001	002	003	004	005	006	007	008	009	010	011	012
220204	0/15	0/10	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/10	0/10	0/5
220215	0/15	0/10	0/5	0/5	1/5	0/5	0/5	0/5	0/5	0/10	0/10	1/5
220216	1/15	0/10	1/5	0/5	1/5	0/5	0/5	0/5	0/5	0/10	0/10	1/5
220216	13/15	4/10	1/5	0/5	1/5	0/5	0/5	1/5	0/5	0/10	0/10	2/5
220223	13/15	4/10	1/5	0/5	1/5	0/5	1/5	1/5	0/5	0/10	0/10	2/5
220225	14/15	4/10	1/5	0/5	1/5	0/5	1/5	1/5	1/5	0/10	0/10	2/5
220302	14/15	4/10	1/5	0/5	1/5	1/5	1/5	1/5	1/5	0/10	0/10	2/5
220309	15/15	4/10	1/5	0/5	1/5	1/5	1/5	1/5	1/5	0/10	0/10	2/5
220310	15/15	4/10	1/5	0/5	1/5	1/5	1/5	1/5	1/5	0/10	0/10	3/5
220324	15/15	4/10	2/5	0/5	1/5	1/5	1/5	1/5	1/5	0/10	0/10	3/5
220330	15/15	3/10	2/5	0/5	1/5	1/5	1/5	1/5	1/5	0/10	0/10	3/5
220407	16/15	3/10	2/5	0/5	1/5	1/5	1/5	1/5	1/5	0/10	0/10	3/5
220417	16/15	3/10	2/5	0/5	1/5	1/5	1/5	1/5	1/5	1/10	0/10	3/5
