DATE	A01	A02
220204	0/30	0/30
220212	2/30	0/30
220215	5/30	1/30
220216	6/30	1/30
220216	7/30	1/30
220217	8/30	1/30
220218	13/30	7/30
220221	14/30	9/30
220223	15/30	11/30
220224	17/30	12/30
220225	28/30	20/30
220226	30/30 WL3	29/30 WL5
220227	30/30 WL4	30/30 WL4
220228	30/30 WL5	30/30 WL4
220303	30/30 WL5	30/30 WL5
220304	30/30 WL5	30/30 WL4
220305	30/30 WL5	30/30 WL3
220309	32/32 WL3	32/32 WL1
220310	32/32 WL3	32/32 WL2
220312	32/32 WL4	32/32 WL2
220314	32/32 WL4	32/32 WL3
220316	31/32 WL3	32/32 WL4
220317	30/32 WL3	32/32 WL4
220321	32/32 WL1	32/32 WL4
220328	32/32 WL2	32/32 WL3
220328	32/32 WL2	32/32 WL4
220330	30/32 WL6	31/32 WL4
220331	32/32 WL3	31/32 WL3
220404	32/32 WL3	31/32 WL1
220405	32/32 WL3	32/32
220406	32/32	32/32 WL1
220407	31/32	32/32 WL1
220408	32/32	32/32
220410	31/32	31/32
220417	32/32	30/32
