DATE	A01	A02	A03	A04	A05	A06	A07	A08	B01	B02	B03	C01
220204	0/20	0/20	0/20	0/20	0/20	0/20	0/20	0/15	0/16	0/20	0/20	N/A
220212	0/20	0/20	2/20	1/20	0/20	0/20	1/20	1/15	0/16	1/20	0/20	N/A
220213	0/20	11/20	13/20	1/20	2/20	1/20	1/20	4/15	4/16	5/20	0/20	N/A
220214	0/20	13/20	13/20	2/20	3/20	2/20	1/20	5/15	5/16	6/20	1/20	N/A
220215	1/20	20/20	17/20	4/20	3/20	6/20	1/20	9/15	6/16	7/20	2/20	N/A
220216	6/20	20/20	20/20	20/20	11/20	9/20	1/20	15/15	8/16	14/20	3/20	N/A
220216	20/20	20/20	20/20	20/20	20/20	20/20	20/20	15/15	16/16	20/20	20/20	N/A
220221	20/20	20/20 WL2	20/20	20/20	20/20	20/20 WL1	20/20 WL1	15/15	16/16	20/20	20/20	N/A
220222	20/20	20/20 WL2	20/20 WL1	20/20	20/20	20/20 WL1	20/20 WL1	15/15	16/16	20/20	20/20	N/A
220223	20/20	20/20 WL2	20/20 WL3	20/20 WL2	20/20 WL2	20/20 WL1	20/20 WL1	15/15 WL1	16/16	20/20 WL1	20/20 WL1	2/2
220224	20/20 WL1	20/20 WL2	20/20 WL3	20/20 WL3	20/20 WL1	20/20 WL1	20/20 WL1	15/15 WL2	16/16 WL1	20/20 WL1	20/20 WL2	2/2
220225	20/20 WL12	20/20 WL18	20/20 WL18	20/20 WL16	20/20 WL16	20/20 WL15	20/20 WL14	15/15 WL14	16/16 WL14	20/20 WL17	20/20 WL11	2/2 WL11
220226	20/20 WL20	20/20 WL32	20/20 WL35	20/20 WL31	20/20 WL34	20/20 WL30	20/20 WL25	15/15 WL23	16/16 WL23	20/20 WL35	20/20 WL22	2/2 WL20
220227	20/20 WL21	20/20 WL33	20/20 WL35	20/20 WL32	20/20 WL34	20/20 WL30	20/20 WL25	15/15 WL23	16/16 WL23	20/20 WL35	20/20 WL22	2/2 WL20
