DATE	001	002	003	004	005	006	007	008	009
220212	0/0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	2/0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	3/0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	3/0	1/0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	3/0	1/0	0/0	N/A	N/A	N/A	N/A	N/A	N/A
220224	3/0	1/0	1/0	N/A	N/A	N/A	N/A	N/A	N/A
220302	3/0	1/0	1/0	0/0	0/0	N/A	N/A	N/A	N/A
220303	3/0	1/0	1/0	2/0	0/0	N/A	N/A	N/A	N/A
220304	4/0	1/0	1/0	2/0	0/0	N/A	N/A	N/A	N/A
220308	5/0	1/0	1/0	2/0	0/0	1/0	0/0	0/0	N/A
220309	5/0	1/0	1/0 WL1	2/0	0/0	2/0	0/0	1/0	N/A
220310	5/0	1/0	1/0 WL1	2/0	0/0	2/0	0/0	1/0	0/0
