DATE	A01	A02
220204	0/35	0/35
220213	2/35	1/35
220215	3/35	2/35
220216	5/35	2/35
220216	8/35	3/35
220217	8/35	4/35
220218	18/35	11/35
220219	17/35	11/35
220221	18/35	11/35
220223	18/35	13/35
220224	20/35	13/35
220225	34/35	15/35
220226	35/35 WL2	32/35
220227	35/35 WL2	35/35
220228	35/35 WL2	35/35 WL1
220301	35/35 WL2	34/35 WL1
220302	35/35 WL2	35/35
220303	35/35 WL3	35/35
220306	35/35 WL3	34/35
220307	35/35 WL3	35/35
220308	35/35 WL3	35/35 WL1
220310	35/35 WL3	35/35 WL2
220317	35/35 WL2	35/35 WL2
220321	35/35 WL2	35/35 WL3
220323	35/35 WL2	35/35 WL1
220324	35/35 WL2	35/35 WL2
