DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	2/28	0/28	0/28	2/28	0/28	1/28	2/28	1/28	0/28	0/28	2/28	0/28	1/28	2/28	0/28	0/28	0/28	3/28	6/28	5/28	1/28	1/28	1/28
220213	3/28	0/28	1/28	6/28	2/28	3/28	3/28	3/28	0/28	2/28	3/28	2/28	4/28	3/28	0/28	2/28	1/28	5/28	8/28	7/28	3/28	2/28	1/28
220214	4/28	0/28	1/28	6/28	2/28	3/28	4/28	3/28	1/28	2/28	4/28	2/28	5/28	3/28	1/28	4/28	4/28	5/28	9/28	7/28	3/28	2/28	1/28
220215	8/28	0/28	5/28	14/28	12/28	5/28	10/28	10/28	1/28	2/28	6/28	4/28	8/28	4/28	4/28	11/28	15/28	6/28	18/28	15/28	9/28	3/28	6/28
220216	17/28	4/28	14/28	27/28	23/28	12/28	19/28	17/28	2/28	9/28	10/28	19/28	19/28	11/28	8/28	22/28	23/28	15/28	19/28	25/28	18/28	11/28	13/28
220216	28/28	15/28	28/28	28/28	28/28	28/28	28/28	28/28	7/28	20/28	22/28	28/28	28/28	28/28	24/28	28/28	28/28	28/28	28/28	28/28	28/28	23/28	23/28
220217	28/28	21/28	28/28	28/28	28/28	28/28	28/28	28/28	10/28	23/28	22/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	25/28	26/28
220218	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	22/28	24/28	27/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28
220219	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	26/28	24/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28	28/28
220221	28/30	28/30	28/30	28/30	28/30	29/30	28/30	28/30	26/30	24/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30	28/30
220221	29/30	28/30	28/30	29/30	30/30	29/30	29/30	30/30	27/30	25/30	28/30	29/30	28/30	28/30	29/30	30/30	27/30	29/30	28/30	28/30	28/30	29/30	28/30
220222	29/30	28/30	28/30	29/30	30/30	30/30	29/30	30/30	27/30	25/30	28/30	30/30	28/30	28/30	30/30	30/30	27/30	30/30	28/30	29/30	28/30	29/30	28/30
220223	30/30	30/30	30/30	30/30 WL2	30/30 WL1	29/30 WL1	30/30	30/30 WL1	30/30	30/30	30/30	30/30	30/30 WL1	30/30 WL1	30/30	30/30 WL2	30/30 WL1	30/30	29/30	30/30	30/30	30/30	30/30
