DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042
220204	0/15	0/15	0/15	0/15	0/15	0/0	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/0	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/0	0/0	0/15	0/15	0/15	0/15	0/15	0/15	0/0	0/15	0/15	0/15	0/15	0/15
220213	4/15	0/15	2/15	0/15	3/15	0/0	0/15	3/15	0/15	0/15	2/15	3/15	1/15	0/15	3/15	0/15	1/15	0/0	1/15	1/15	1/15	2/15	0/15	0/15	0/15	0/15	0/15	0/15	0/0	0/0	2/15	0/15	0/15	1/15	1/15	0/15	0/0	0/15	2/15	0/15	0/15	0/15
220214	4/15	1/15	2/15	0/15	3/15	0/0	0/15	3/15	0/15	0/15	2/15	3/15	1/15	0/15	3/15	0/15	1/15	0/0	1/15	1/15	1/15	2/15	0/15	0/15	0/15	0/15	0/15	0/15	0/0	0/0	2/15	0/15	0/15	1/15	1/15	0/15	0/0	0/15	3/15	0/15	0/15	0/15
220215	4/15	1/15	2/15	0/15	3/15	0/0	1/15	3/15	0/15	0/15	2/15	3/15	1/15	0/15	3/15	0/15	1/15	0/0	1/15	1/15	1/15	2/15	1/15	0/15	0/15	0/15	0/15	0/15	0/0	0/0	2/15	0/15	0/15	1/15	1/15	0/15	0/0	0/15	3/15	0/15	1/15	0/15
220216	6/15	1/15	3/15	0/15	3/15	0/0	2/15	3/15	0/15	0/15	3/15	3/15	1/15	0/15	3/15	0/15	1/15	0/0	2/15	1/15	1/15	2/15	1/15	0/15	0/15	0/15	0/15	0/15	0/0	0/0	2/15	0/15	1/15	1/15	2/15	0/15	0/0	0/15	4/15	1/15	1/15	0/15
220216	14/15	2/15	6/15	0/15	6/15	0/0	2/15	4/15	1/15	0/15	3/15	3/15	4/15	2/15	3/15	0/15	1/15	0/0	2/15	2/15	5/15	3/15	5/15	1/15	0/15	3/15	0/15	1/15	0/0	0/0	6/15	0/15	1/15	1/15	3/15	1/15	0/0	1/15	4/15	2/15	2/15	1/15
220217	15/15	5/15	6/15	1/15	8/15	0/0	2/15	4/15	1/15	0/15	4/15	3/15	4/15	2/15	3/15	0/15	2/15	0/0	2/15	4/15	6/15	4/15	6/15	2/15	1/15	3/15	0/15	1/15	0/0	0/0	8/15	0/15	0/15	3/15	2/15	0/15	0/0	3/15	6/15	2/15	2/15	1/15
220218	15/15	15/15	15/15	15/15	15/15	0/0	15/15	9/15	2/15	2/15	15/15	15/15	8/15	9/15	14/15	13/15	6/15	0/0	4/15	12/15	15/15	15/15	12/15	5/15	5/15	3/15	1/15	5/15	0/0	0/0	15/15	15/15	1/15	10/15	9/15	3/15	0/0	6/15	15/15	9/15	15/15	6/15
220219	15/15	15/15	15/15	15/15	15/15	0/0	15/15	11/15	3/15	2/15	15/15	15/15	8/15	9/15	15/15	14/15	6/15	0/0	5/15	12/15	14/15	15/15	11/15	6/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	1/15	10/15	9/15	3/15	0/0	7/15	15/15	9/15	15/15	6/15
220221	15/15	15/15	15/15	15/15	15/15	0/0	15/15	10/15	4/15	2/15	15/15	14/15	8/15	10/15	13/15	14/15	6/15	0/0	5/15	11/15	14/15	14/15	11/15	6/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	2/15	10/15	9/15	5/15	0/0	7/15	14/15	11/15	15/15	8/15
