DATE	B00	C00	D00	E00
220204	0/100	0/98	0/100	0/60
220212	28/100	48/98	71/100	11/60
220213	30/100	59/98	76/100	17/60
220214	34/100	60/98	79/100	18/60
220215	33/100	63/98	81/100	17/60
220216	33/100	64/98	81/100	19/60
220218	33/100	67/98	79/100	19/60
220219	34/100	66/98	80/100	19/60
220220	34/100	65/98	80/100	19/60
220221	35/100	65/98	80/100	18/60
220221	35/100	66/98	80/100	18/60
220222	35/100	67/98	80/100	19/60
220223	32/100	64/98	80/100	19/60
220224	32/100	63/98	80/100	19/60
220225	32/100	61/98	80/100	20/60
220226	32/100	60/98	79/100	20/60
220227	32/100	60/98	78/100	20/60
220228	31/100	60/98	78/100	20/60
220301	31/100	60/98	78/100	21/60
220302	31/100	58/98	78/100	20/60
220303	30/100	57/98	78/100	20/60
220304	30/100	57/98	79/100	20/60
220305	30/100	57/98	77/100	19/60
220306	30/100	57/98	76/100	19/60
220307	30/100	57/98	76/100	18/60
220308	30/100	57/98	75/100	18/60
220309	30/100	57/98	74/100	18/60
220310	30/100	57/98	72/100	18/60
220311	31/100	57/98	72/100	18/60
220312	31/100	58/98	72/100	18/60
220314	29/100	55/98	73/100	18/60
220316	30/100	52/98	74/100	19/60
