DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	B01	B02	B03	B04	B05	B06	B07	B08	B09	C01	C02	C03	C04	C05	C06	C07	C08	C09	D01	D02	D03	D04	D05	D06	D07	D08	D09	E01	E02	E03	E04	E05	E06	E07	E08	E09
220204	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40
220212	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	1/40	0/40	1/40	0/40	0/40	0/40	0/40	1/40	1/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	2/40	0/40	0/40	0/40	0/40	0/40	0/40
220213	1/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	1/40	7/40	11/40	0/40	14/40	11/40	0/40	1/40	1/40	1/40	2/40	0/40	1/40	0/40	0/40	0/40	1/40	0/40	5/40	2/40	0/40	0/40	4/40	4/40	1/40	3/40	0/40	0/40	3/40	5/40	2/40	1/40	2/40	0/40	2/40	0/40
220214	1/40	0/40	0/40	0/40	0/38	0/40	0/40	0/40	0/40	1/40	7/40	11/40	0/40	15/40	12/40	1/40	1/40	1/40	1/40	2/40	0/40	1/40	0/40	0/40	0/40	1/40	0/40	5/40	1/40	0/40	0/40	4/38	4/40	1/40	3/40	0/40	0/40	3/40	5/40	2/40	1/40	3/40	0/40	2/40	0/40
220215	1/40	0/40	0/40	0/40	0/38	0/40	0/40	0/40	0/40	1/40	7/40	12/40	0/40	18/40	14/40	1/40	1/40	1/40	1/40	2/40	0/40	2/40	0/40	0/40	0/40	1/40	0/40	5/40	2/40	0/40	0/40	3/38	5/40	1/40	3/40	0/40	0/40	5/40	5/40	2/40	1/40	4/40	0/40	1/40	0/40
220216	2/40	0/40	0/40	0/40	0/38	1/40	0/40	0/40	0/40	2/40	7/40	15/40	0/40	27/40	14/40	2/40	1/40	2/40	2/40	3/40	0/40	2/40	0/40	0/40	0/40	1/40	0/40	6/40	2/40	0/40	1/40	6/38	7/40	2/40	4/40	0/40	0/40	9/40	6/40	3/40	1/40	4/40	0/40	1/40	0/40
220216	4/40	1/40	0/40	0/40	0/38	2/40	1/40	0/40	0/40	7/40	20/40	40/40	0/40	40/40	32/40	6/40	2/40	4/40	4/40	6/40	1/40	2/40	0/40	0/40	0/40	2/40	0/40	20/40	6/40	1/40	1/40	13/38	17/40	5/40	10/40	0/40	0/40	26/40	7/40	7/40	4/40	6/40	0/40	1/40	0/40
220217	4/40	2/40	0/40	0/40	0/38	3/40	1/40	0/40	0/40	20/40	40/40	40/40	0/40	40/40	40/40	23/40	5/40	9/40	3/40	6/40	1/40	2/40	0/40	0/40	1/40	3/40	0/40	30/40	8/40	1/40	2/40	22/38	24/40	8/40	15/40	0/40	0/40	39/40	16/40	8/40	7/40	9/40	0/40	2/40	0/40
220218	18/40	9/40	7/40	5/40	5/38	6/40	4/40	2/40	0/0	40/40	40/40	40/40	0/0	40/40	40/40	40/40	40/40	40/40	27/40	12/40	17/40	6/40	2/40	2/40	4/40	5/40	0/0	40/40	40/40	40/40	40/40	38/38	40/40	40/40	40/40	0/0	0/0	40/40	40/40	40/40	40/40	40/40	40/40	40/40	40/40
220219	20/40	9/40	8/40	5/40	4/38	6/40	4/40	2/40	0/0	40/40	40/40	40/40	0/0	40/40	40/40	40/40	40/40	40/40	29/40	11/40	16/40	7/40	2/40	2/40	3/40	4/40	0/0	40/40	40/40	40/40	40/40	38/38	40/40	40/40	40/40	0/0	0/0	40/40	40/40	41/40	40/40	40/40	40/40	40/40	40/40
