DATE	001	002	003	004	005	006	007	008	009	010	011	012
220212	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220219	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	1	1	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A
220303	1	1	1	2	1	1	1	N/A	N/A	N/A	N/A	N/A
220308	1	1	1	2	1	2	2	N/A	N/A	N/A	N/A	N/A
220309	2	1	1	2	1	3	2	1	0	N/A	N/A	N/A
220310	2	1	1	2	1	3	2	1	0	0	0	N/A
220311	2	1	1	2	1	4	2	1	1	1	1	N/A
220312	2	2	1	2	1	4	2	1	1	1	1	N/A
220316	2	2	1	2	1	4	2	1	1	1	1	1
