DATE	A00	B00	C00
220204	0/0	0/50	0/50
220212	0/0	6/50	14/50
220213	0/0	10/50	16/50
220214	0/0	12/50	17/50
220215	0/0	13/50	17/30
220216	0/0	15/50	18/30
220218	5/0	17/50	20/30
220219	7/0	17/50	20/30
220221	8/0	17/50	20/30
220222	9/0	20/50	27/30
220223	10/0	34/50	40/50 WL1
220224	10/0 WL1	34/50	41/50
220225	10/0 WL1	28/50	47/50
220226	10/0 WL1	29/50	48/50
220227	11/0 WL1	27/50	50/50
220228	11/0 WL1	28/50	50/50
220302	11/0 WL1	50/50 WL20	50/50 WL18
220303	10/0 WL1	65/65 WL6	65/65 WL6
220304	10/0 WL1	65/65 WL9	65/65 WL6
220306	10/0 WL1	65/65 WL10	65/65 WL6
220307	11/0 WL1	65/65 WL12	65/65 WL7
220308	10/0 WL1	65/65 WL14	65/65 WL8
