DATE	A00	B00	C00	D00
220204	0/85	0/85	0/85	0/85
220212	0/85	2/85	0/85	0/85
220213	1/85	3/85	3/85	0/85
220215	1/85	5/85	8/85	1/85
220216	1/85	8/85	9/85	2/85
220216	1/85	9/85	11/85	5/85
220217	2/85	9/85	11/85	5/85
220218	3/85	10/85	19/85	10/85
220219	3/85	10/85	18/85	10/85
220221	3/85	10/85	19/85	10/85
220221	4/85	17/85	24/85	11/85
220222	4/85	18/85	24/85	11/85
220223	5/85	24/85	27/85	20/85
220224	5/85	29/85	35/85	26/85
220225	10/85	40/85	54/85	34/85
220226	15/85	51/85	85/85 WL2	44/85
220227	16/85	56/85	85/85 WL3	44/85
220228	17/85	61/85	85/85 WL3	45/85
220301	18/85	66/85	85/85 WL3	43/85
220302	18/90	68/90	85/90 WL3	45/90
220303	18/90	68/90	88/90	47/90
220304	18/90	67/90	89/90	47/90
220305	18/90	68/90	90/90	45/90
220306	18/90	69/90	90/90	45/90
220307	18/90	70/90	90/90 WL1	47/90
220308	19/90	69/90	90/90 WL1	47/90
220309	19/90	70/90	90/90 WL1	46/90
220310	19/90	70/90	89/90 WL1	46/90
220311	19/90	69/90	88/90 WL1	46/90
220312	19/90	70/90	88/90 WL1	46/90
220314	19/90	71/90	87/90 WL1	48/90
220316	19/90	70/90	87/90 WL1	54/90
220317	19/90	70/90	87/90 WL1	57/90
220321	21/90	76/90	87/90 WL1	61/90
220323	22/90	81/90	87/90 WL2	62/90
220324	22/90	83/90	89/90 WL1	61/90
220328	23/90	89/90	88/90 WL1	64/90
220328	29/90	90/90 WL4	85/90 WL5	74/90
220330	54/90	89/90 WL4	88/90 WL4	74/90 WL3
220331	53/90	89/90 WL3	90/90 WL2	80/90
220404	57/90	90/90	90/90 WL2	86/90
220405	57/90	89/90 WL2	89/90 WL3	85/90
220406	53/90	90/90	89/90 WL2	90/90 WL1
220407	53/90	90/90	89/90	89/90
220408	58/90	90/90	90/90	88/90
220410	63/90	90/90	90/90	89/90
220412	62/90	89/90	88/90	89/90
220417	59/90	86/90	87/90	85/90
220417	17/85	N/A	N/A	N/A
220417	19/75	N/A	N/A	N/A
