DATE	A01	B01	C01	D01
220204	0/150	0/30	0/30	0/21
220213	0/150	2/30	1/30	0/21
220214	2/150	2/30	2/30	0/21
220215	26/150	4/30	4/30	0/21
220216	32/150	5/30	5/30	0/21
220216	49/150	5/30	6/30	0/21
220217	51/150	5/30	5/30	0/21
220218	59/150	5/30	5/30	0/21
220219	60/150	5/30	5/30	0/21
220221	62/150	5/30	5/30	0/21
220222	67/150	6/30	8/30	2/21
220223	104/150	9/30	14/30	15/21
220224	109/150	9/30	16/30	15/21
220225	111/150	9/30	18/30	15/21
220226	118/150	9/30	20/30	15/21
220301	121/150	9/30	20/30	15/21
220302	124/150	9/30	22/30	16/21
220303	127/150	9/30	22/30	16/21
220304	130/150	9/30	22/30	20/21
220305	131/150	9/30	22/30	20/21
220306	132/150	9/30	22/30	19/21
220307	133/150	9/30	22/30	20/21
220308	134/150	8/30	21/30	21/21
220309	136/150	8/30	21/30	21/21
220310	137/150	7/30	21/30	21/21
220311	138/150	7/30	21/30	21/21
220314	139/150	7/30	21/30	21/21
220316	140/150	8/30	20/30	21/21
