DATE	A01	A02	A03	A04	A05	A06
220204	0/35	0/35	0/35	0/35	N/A	N/A
220212	3/35	0/35	2/35	0/35	N/A	N/A
220213	21/35	4/35	3/35	0/35	N/A	N/A
220214	27/35	6/35	3/35	1/35	N/A	N/A
220215	35/35	35/35	35/35	33/35	N/A	N/A
220216	35/35	35/35	35/35	35/35	N/A	N/A
220221	35/35 WL1	35/35	35/35	35/35	N/A	N/A
220221	35/35 WL3	35/35 WL2	35/35 WL1	35/35 WL2	N/A	N/A
220222	35/35 WL3	35/35 WL3	35/35 WL3	35/35 WL3	N/A	N/A
220223	35/35 WL17	35/35 WL15	35/35 WL14	35/35 WL15	N/A	N/A
220224	35/35 WL27	35/35 WL24	35/35 WL23	35/35 WL21	N/A	N/A
220225	35/35 WL30	35/35 WL28	35/35 WL28	35/35 WL28	N/A	N/A
220226	35/35 WL30	35/35 WL29	35/35 WL30	35/35 WL26	N/A	N/A
220227	35/35 WL30	35/35 WL29	35/35 WL30	35/35 WL27	N/A	N/A
220301	35/35 WL30	34/35 WL29	35/35 WL28	35/35 WL27	N/A	N/A
220302	35/35 WL30	35/35 WL28	35/35 WL27	35/35 WL27	N/A	N/A
220303	35/35 WL26	35/35 WL23	35/35 WL25	35/35 WL26	0/0 WL7	0/0 WL5
220304	37/37 WL10	37/37 WL10	37/37 WL11	37/37 WL9	24/0 WL12	27/0 WL9
220305	37/37 WL10	37/37 WL9	37/37 WL9	37/37 WL9	28/0 WL12	29/0 WL9
220306	37/37 WL9	37/37 WL9	37/37 WL9	37/37 WL9	28/0 WL12	30/0 WL10
