DATE	A00	B00	C00	D00
220204	0/27	0/27	0/27	0/27
220212	2/27	1/27	5/27	0/27
220213	7/27	8/27	16/27	1/27
220214	10/27	11/27	19/27	1/27
220215	22/27	27/27	27/27	13/27
220216	27/27	27/27	27/27	19/27
220216	27/27	27/27	27/27	22/27
220218	27/27	27/27	27/27	23/27
220221	26/27 WL2	26/27 WL3	27/27 WL1	26/27
220222	27/27	27/27 WL2	27/27 WL1	27/27
220223	27/27 WL6	26/27 WL3	27/27 WL5	27/27 WL4
220224	27/27 WL6	27/27 WL4	27/27 WL5	27/27 WL4
220225	27/27 WL5	27/27 WL3	27/27 WL5	27/27 WL4
220228	27/27 WL5	27/27 WL3	27/27 WL6	27/27 WL4
220302	27/27 WL5	27/27 WL4	26/27 WL6	27/27 WL4
220303	27/27 WL5	27/27 WL4	27/27 WL5	27/27 WL4
220304	27/27 WL5	27/27 WL6	27/27 WL4	27/27 WL5
220305	27/27 WL5	27/27 WL5	27/27 WL4	27/27 WL5
220308	27/27 WL6	27/27 WL4	27/27 WL5	27/27 WL5
220309	27/27 WL6	27/27 WL5	27/27 WL5	26/27 WL5
220310	27/27 WL6	27/27 WL5	27/27 WL5	27/27 WL3
220311	27/27 WL5	27/27 WL6	26/27 WL5	27/27 WL4
220312	27/27 WL5	27/27 WL6	27/27 WL4	27/27 WL4
220314	27/27 WL5	27/27 WL6	27/27 WL4	27/27 WL3
220316	27/27 WL6	26/27 WL6	27/27 WL4	27/27 WL3
220317	27/27 WL6	27/27 WL5	27/27 WL4	27/27 WL2
220321	27/27 WL6	26/27 WL6	27/27 WL3	27/27 WL2
220323	27/27 WL4	26/27 WL5	27/27 WL3	27/27 WL2
220324	27/27 WL4	27/27 WL3	27/27 WL2	27/27 WL3
220328	27/27 WL1	27/27 WL3	27/27	27/27 WL2
220328	27/27 WL1	26/27 WL4	27/27 WL1	27/27 WL3
220330	26/27	26/27 WL4	27/27	21/27 WL1
220331	27/27	27/27	27/27 WL1	22/27
220404	23/27	26/27	26/27	18/27
220405	21/27	25/27	27/27	19/27
220406	18/27	23/27	27/27	22/27
220407	18/27	22/27	27/27	23/27
220408	19/27	22/27	26/27	22/27
220410	18/27	20/27	25/27	22/27
220412	17/27	20/27	25/27	22/27
220417	16/27	20/27	22/27	22/27
220823	27/27 WL13	N/A	N/A	N/A
