DATE	A00	B00	C00	D00
220204	0/20	0/20	0/20	0/20
220213	0/20	0/20	1/20	0/20
220214	1/20	0/20	1/20	0/20
220216	4/20	0/20	1/20	0/20
220217	5/20	0/20	1/20	0/20
220218	18/20	4/20	3/20	0/20
220219	20/20	5/20	3/20	0/20
220225	20/20 WL1	5/20	3/20	1/20
220226	20/20 WL3	8/20	4/20	4/20
220301	20/20 WL3	9/20	4/20	4/20
220302	20/20 WL3	11/20	4/20	5/20
220305	20/20 WL3	11/20	5/20	6/20
220308	20/20 WL3	12/20	15/20	11/20
220309	20/20 WL3	12/20	16/20	11/20
220312	20/20 WL3	12/20	18/20	13/20
220314	20/20 WL3	12/20	19/20	13/20
220316	20/20 WL3	12/20	18/20	15/20
220317	20/20 WL3	12/20	18/20	16/20
