DATE	A00	B00	C00	D00
220204	0/20	0/20	0/20	0/20
220213	0/20	0/20	1/20	0/20
220214	1/20	0/20	1/20	0/20
220216	4/20	0/20	1/20	0/20
220217	5/20	0/20	1/20	0/20
220218	18/20	4/20	3/20	0/20
220219	20/20	5/20	3/20	0/20
220225	20/20 WL1	5/20	3/20	1/20
220226	20/20 WL3	8/20	4/20	4/20
220301	20/20 WL3	9/20	4/20	4/20
220302	20/20 WL3	11/20	4/20	5/20
220305	20/20 WL3	11/20	5/20	6/20
220308	20/20 WL3	12/20	15/20	11/20
220309	20/20 WL3	12/20	16/20	11/20
220312	20/20 WL3	12/20	18/20	13/20
220314	20/20 WL3	12/20	19/20	13/20
220316	20/20 WL3	12/20	18/20	15/20
220317	20/20 WL3	12/20	18/20	16/20
220321	20/20 WL3	14/20	20/20 WL3	20/20 WL3
220323	20/20 WL3	16/20	20/20 WL6	20/20 WL8
220324	20/20 WL3	16/20	19/20 WL8	20/20 WL8
220328	20/20 WL2	15/20	20/20 WL7	19/20 WL4
220328	18/20 WL2	14/20	20/20 WL6	18/20 WL4
220330	16/20	13/20	19/20 WL6	19/20 WL3
220331	16/20	13/20	20/20 WL5	20/20 WL2
220404	20/20	15/20	20/20 WL4	16/20
220405	20/20	17/20	20/20 WL4	16/20
220406	20/20	17/20	18/20 WL3	15/20
220407	20/20	17/20	19/20	15/20
220408	18/20	18/20	19/20	14/20
