DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037
220204	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220213	0/15	2/15	1/15	1/15	1/15	0/15	0/15	2/15	0/15	1/15	0/15	1/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	0/15
220216	0/15	3/15	1/15	1/15	1/15	0/15	0/15	2/15	1/15	1/15	1/15	1/15	0/15	1/15	1/15	0/15	2/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15
220216	0/15	3/15	3/15	3/15	2/15	1/15	0/15	2/15	1/15	2/15	3/15	1/15	3/15	4/15	1/15	0/15	4/15	1/15	0/15	3/15	0/15	0/15	5/15	0/15	1/15	1/15	1/15	2/15	3/15	2/15	1/15	0/15	0/15	3/15	0/15	0/15	0/15
220217	0/15	4/15	5/15	3/15	4/15	1/15	0/15	3/15	2/15	2/15	4/15	2/15	5/15	4/15	1/15	0/15	7/15	2/15	1/15	5/15	1/15	0/15	8/15	1/15	1/15	1/15	2/15	4/15	3/15	2/15	1/15	0/15	2/15	4/15	0/15	0/15	0/15
220218	0/15	15/15	15/15	15/15	15/15	13/15	0/15	15/15	15/15	15/15	15/15	6/15	15/15	15/15	15/15	0/15	12/15	14/15	12/15	15/15	14/15	0/15	15/15	5/15	7/15	14/15	5/15	14/15	11/15	6/15	3/15	3/15	6/15	15/15	8/15	0/15	0/15
220219	0/15	15/15	15/15	15/15	15/15	13/15	0/15	14/15	15/15	15/15	15/15	7/15	15/15	14/15	15/15	0/15	13/15	14/15	13/15	15/15	15/15	0/15	14/15	5/15	7/15	15/15	5/15	15/15	12/15	6/15	3/15	4/15	6/15	15/15	8/15	0/15	0/15
220220	0/15	15/15	15/15	15/15	15/15	13/15	0/15	14/15	15/15	15/15	15/15	7/15	15/15	14/15	15/15	0/15	13/15	14/15	14/15	15/15	15/15	0/15	14/15	5/15	7/15	15/15	5/15	15/15	12/15	6/15	3/15	4/15	6/15	15/15	8/15	0/15	0/15
220221	0/15	15/15	15/15	15/15	15/15	14/15	0/15	15/15	15/15	15/15	15/15	8/15	15/15	15/15	14/15	0/15	13/15	14/15	14/15	15/15	15/15	0/15	14/15	5/15	7/15	15/15	7/15	15/15	12/15	6/15	3/15	4/15	6/15	15/15	8/15	0/15	0/15
220223	0/15	15/15	15/15	15/15	15/15	14/15	0/15	15/15	15/15	15/15	15/15	8/15	15/15	15/15	14/15	0/15	13/15	14/15	14/15	15/15	15/15	0/15	14/15	5/15	7/15	15/15	8/15	15/15	12/15	6/15	3/15	4/15	7/15	15/15	8/15	0/15	0/15
220224	0/15	15/15	15/15	15/15	15/15	14/15	0/15	15/15	15/15	15/15	15/15	9/15	15/15	15/15	14/15	0/15	13/15	14/15	14/15	15/15	15/15	0/15	15/15	5/15	7/15	15/15	8/15	15/15	11/15	6/15	3/15	4/15	7/15	15/15 WL1	9/15	0/15	0/15
220225	0/15	15/15	15/15 WL1	15/15	15/15	15/15	0/15	15/15	15/15	15/15	15/15	14/15 WL1	14/15	15/15	14/15 WL1	0/15	15/15	15/15	15/15	15/15	15/15	0/15	15/15	15/15	11/15	15/15 WL1	13/15	15/15	15/15	7/15	7/15	10/15	10/15	15/15 WL1	13/15	2/15	0/15
220226	0/15	15/15 WL1	15/15	15/15 WL1	15/15 WL1	15/15	0/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	0/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15	0/15	15/15	15/15 WL1	15/15 WL2	15/15 WL2	15/15	15/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL2	14/15	0/15
220227	0/15	15/15 WL1	15/15	15/15 WL1	15/15 WL1	15/15	0/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	0/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15	0/15	15/15	15/15 WL1	15/15 WL2	15/15 WL2	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL2	15/15	0/15
