DATE	A01	A02	A03	A04
220204	0/35	0/35	0/35	0/35
220212	1/35	0/35	0/35	0/35
220213	2/35	3/35	1/35	0/35
220214	3/35	4/35	2/35	0/35
220215	8/35	4/35	5/35	0/35
220216	8/35	4/35	8/35	0/35
220216	8/35	5/35	8/35	1/35
220218	9/35	6/35	10/35	1/35
220219	10/35	6/35	10/35	1/35
220221	12/35	7/35	12/35	2/35
220223	18/35	10/35	15/35	4/35
220224	21/35	10/35	17/35	5/35
220225	31/35	16/35	34/35	8/35
220226	35/35	26/35	35/35	11/35
220301	35/35	26/35	35/35	13/35
220302	35/35	28/35	35/35	13/35
220304	35/35	28/35	34/35	13/35
220305	35/35	27/35	35/35	13/35
220307	35/35	28/35	34/35	14/35
220308	34/35	29/35	35/35	15/35
220309	33/35	30/35	35/35	15/35
220310	32/35	30/35	35/35	15/35
220311	32/35	30/35	35/35	14/35
220314	33/35	30/35	34/35	14/35
