DATE	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02
220204	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5
220212	0/5	0/5	1/5	0/5	2/5	0/5	0/5	2/5	1/5	0/5
220213	1/5	1/5	1/5	0/5	3/5	0/5	5/5	5/5	3/5	0/5
220214	0/5	2/5	1/5	0/5	4/5	0/5	5/5	5/5	3/5	0/5
220215	2/5	5/5	1/5	0/5	5/5	4/5	5/5	5/5	3/5	0/5
220216	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5
220221	5/5 WL1	5/5 WL1	5/5	5/5	5/5	5/5 WL1	5/5 WL1	5/5 WL1	5/5	5/5
220222	5/5 WL1	5/5 WL1	5/5	5/5	4/5	5/5 WL1	5/5 WL3	5/5 WL1	5/5 WL1	5/5
220223	5/5 WL2	5/5 WL1	5/5	5/5	5/5 WL2	5/5 WL2	5/5 WL4	5/5 WL4	5/5 WL1	5/5
220224	5/5 WL4	5/5 WL3	5/5	5/5	5/5 WL4	5/5 WL3	5/5 WL13	5/5 WL11	5/5 WL4	5/5 WL1
220225	5/5 WL12	5/5 WL13	5/5 WL9	5/5 WL9	5/5 WL12	5/5 WL11	5/5 WL45	5/5 WL45	5/5 WL12	5/5 WL16
220226	5/5 WL19	5/5 WL17	5/5 WL13	5/5 WL13	5/5 WL17	5/5 WL14	5/5 WL54	5/5 WL47	5/5 WL21	5/5 WL20
220227	5/5 WL19	5/5 WL17	5/5 WL14	5/5 WL13	5/5 WL17	5/5 WL14	5/5 WL54	5/5 WL47	5/5 WL22	5/5 WL20
220228	5/5 WL19	5/5 WL18	5/5 WL14	5/5 WL13	5/5 WL17	5/5 WL14	5/5 WL56	5/5 WL47	5/5 WL22	5/5 WL20
220301	9/5 WL15	14/5 WL9	10/5 WL10	7/5 WL11	12/5 WL11	7/5 WL12	22/5 WL39	19/5 WL33	15/5 WL12	13/5 WL12
220302	16/5 WL8	20/5 WL3	15/5 WL4	13/5 WL5	18/5 WL5	9/5 WL10	25/5 WL36	26/5 WL27	19/5 WL8	19/5 WL6
220303	17/5 WL7	20/5 WL3	15/5 WL4	13/5 WL5	18/5 WL6	8/5 WL10	26/5 WL33	28/5 WL27	19/5 WL8	20/5 WL5
220304	18/5 WL5	20/5 WL3	15/5 WL5	13/5 WL5	18/5 WL6	8/5 WL10	27/5 WL32	28/5 WL27	19/5 WL8	21/5 WL4
220305	17/5 WL5	20/5 WL3	15/5 WL6	13/5 WL5	18/5 WL7	8/5 WL10	27/5 WL32	28/5 WL27	19/5 WL8	21/5 WL4
220306	17/5 WL5	20/5 WL2	16/5 WL5	13/5 WL5	18/5 WL7	8/5 WL10	28/5 WL30	28/5 WL28	19/5 WL8	21/5 WL4
220307	17/5 WL5	20/5 WL2	16/5 WL5	13/5 WL5	18/5 WL7	8/5 WL10	28/5 WL30	28/5 WL28	20/5 WL7	21/5 WL4
220308	17/5 WL5	20/5 WL2	16/5 WL5	13/5 WL5	18/5 WL8	8/5 WL10	29/5 WL29	28/5 WL28	20/5 WL7	20/5 WL4
220309	17/5 WL5	19/5 WL2	16/5 WL4	13/5 WL5	18/5 WL8	9/5 WL8	29/5 WL29	28/5 WL28	20/5 WL6	20/5 WL4
220310	18/15 WL5	22/15 WL2	16/15 WL4	15/15 WL2	18/15 WL8	15/15 WL3	29/15 WL23	28/15 WL22	26/15 WL6	22/15 WL4
220311	18/15 WL5	22/15 WL3	16/15 WL4	15/15 WL3	18/15 WL7	15/15 WL4	29/15 WL22	28/15 WL22	26/15 WL6	22/15 WL4
220312	18/15 WL5	22/15 WL4	16/15 WL4	15/15 WL3	18/15 WL6	15/15 WL4	29/15 WL22	28/15 WL22	26/15 WL6	22/15 WL4
220314	18/15 WL5	22/15 WL4	16/15 WL5	15/15 WL4	19/15 WL6	15/15 WL4	29/15 WL22	28/15 WL21	26/15 WL6	22/15 WL4
220316	18/32 WL5	24/32 WL5	16/32 WL4	15/32 WL4	19/32 WL6	15/32 WL5	29/32 WL20	28/32 WL19	26/32 WL5	21/32 WL4
220317	20/32 WL1	32/32	19/32 WL1	19/32	29/32	19/32 WL2	32/32 WL15	32/32 WL13	29/32 WL1	23/32 WL1
220321	20/32 WL1	32/32 WL1	18/32 WL1	19/32	32/32	20/32 WL1	32/32 WL15	32/32 WL13	28/32 WL1	23/32 WL1
220323	20/32 WL1	32/32 WL1	15/32 WL1	19/32	32/32	20/32 WL1	32/32 WL14	32/32 WL13	28/32 WL1	22/32 WL1
220324	20/32 WL1	32/32 WL1	15/32 WL1	22/32	31/32	20/32 WL1	32/32 WL13	32/32 WL13	28/32 WL1	22/32 WL1
220328	26/32	32/32 WL1	18/32	21/32	32/32	18/32 WL1	32/32 WL8	32/32 WL11	29/32 WL1	31/32
220328	32/32	32/32 WL1	19/32	22/32	32/32 WL2	18/32 WL2	32/32 WL9	32/32 WL9	29/32 WL2	32/32 WL2
220330	30/33 WL3	32/33 WL3	32/32	32/32	32/32 WL1	16/32 WL2	32/35 WL8	32/35 WL8	30/32 WL2	31/32 WL1
220331	33/33	33/33 WL2	32/32	32/32 WL1	32/32 WL1	17/32 WL1	35/35 WL6	35/35 WL5	31/32 WL1	31/32 WL1
