DATE	A01	A02	A03	A04	A05	A06
220204	0/35	0/35	0/35	N/A	N/A	N/A
220212	3/35	2/35	1/35	N/A	N/A	N/A
220213	6/35	3/35	1/35	N/A	N/A	N/A
220214	7/35	3/35	1/35	N/A	N/A	N/A
220215	18/35	5/35	2/35	N/A	N/A	N/A
220216	35/35	26/35	5/35	N/A	N/A	N/A
220216	35/35	35/35	35/35	N/A	N/A	N/A
220221	35/35 WL1	35/35 WL1	35/35 WL1	N/A	N/A	N/A
220222	35/35 WL1	35/35 WL2	35/35 WL1	N/A	N/A	N/A
220223	35/35 WL9	35/35 WL8	35/35 WL9	N/A	N/A	N/A
220224	35/35 WL14	35/35 WL13	35/35 WL13	N/A	N/A	N/A
220225	35/35 WL23	34/35 WL21	35/35 WL21	N/A	N/A	N/A
220226	35/35 WL25	35/35 WL22	35/35 WL22	N/A	N/A	N/A
220227	35/35 WL25	35/35 WL23	35/35 WL23	N/A	N/A	N/A
220301	34/35 WL26	34/35 WL23	35/35 WL23	N/A	N/A	N/A
220302	35/35 WL25	35/35 WL22	35/35 WL22	N/A	N/A	N/A
220303	35/35 WL21	35/35 WL21	35/35 WL17	5/0 WL5	4/0 WL5	N/A
220304	35/35 WL9	35/35 WL8	35/35 WL4	19/0 WL5	26/0 WL5	N/A
220305	35/35 WL9	35/35 WL8	35/35 WL4	19/0 WL7	27/0 WL6	N/A
220306	35/35 WL9	35/35 WL8	35/35 WL5	19/0 WL6	27/0 WL5	N/A
220307	35/35 WL8	35/35 WL8	35/35 WL5	20/0 WL7	27/0 WL5	N/A
220308	35/35 WL7	35/35 WL8	35/35 WL4	21/0 WL8	27/0 WL7	N/A
220309	35/35 WL7	35/35 WL8	35/35 WL4	22/0 WL8	27/0 WL7	N/A
220310	35/35 WL7	35/35 WL8	35/35 WL4	22/0 WL7	28/0 WL7	N/A
220311	35/35 WL7	35/35 WL8	35/35 WL4	28/35 WL1	35/35	N/A
220312	35/35 WL6	34/35 WL7	35/35 WL3	29/35 WL1	35/35 WL1	N/A
220314	35/35 WL5	35/35 WL6	35/35 WL3	32/35 WL1	35/35 WL2	N/A
220316	35/35 WL6	35/35 WL5	35/35 WL2	34/35 WL1	35/35 WL2	2/0
220317	35/35 WL6	35/35 WL4	35/35 WL1	35/35 WL1	35/35 WL2	4/35
220321	35/35 WL6	35/35 WL4	34/35 WL1	35/35 WL1	34/35 WL1	8/35
220323	35/35 WL5	35/35 WL4	34/35 WL1	34/35 WL1	34/35 WL1	13/35
220324	35/35 WL5	35/35 WL4	34/35 WL1	33/35 WL1	35/35	20/35
220328	34/35 WL3	35/35 WL2	33/35 WL1	32/35 WL1	34/35	34/35
