DATE	A01	B01
220212	3/40	0/40
220213	15/40	7/40
220214	22/40	9/40
220215	40/40	40/40
220216	39/40	40/40
220216	40/40	40/40
220221	40/40 WL3	40/40 WL3
220222	40/40 WL4	40/40 WL3
220223	40/40 WL13	40/40 WL12
220224	40/40 WL18	40/40 WL13
220225	40/40 WL19	40/40 WL16
220226	40/40 WL19	40/40 WL17
220301	40/40 WL19	40/40 WL16
220307	40/40 WL20	40/40 WL17
220309	40/40 WL20	40/40 WL16
220310	40/40 WL20	40/40 WL15
220312	40/40 WL20	40/40 WL14
220316	40/40 WL20	39/40 WL13
220317	40/40 WL20	40/40 WL12
220321	40/40 WL21	40/40 WL13
220323	39/40 WL20	40/40 WL14
220324	40/40 WL19	40/40 WL13
